race_date,place_code,race_no,car_no,player_code,player_name,prefecture,kyuhan,prev_kyuhan,kyakusitu,sotugyouki,age,heikin_tokuten,nige_cnt,makuri_cnt,sasi_cnt,mark_cnt,back_cnt,home_tori,st_tori,syouritu,rentairitu2,rentairitu3,ketujyou_tuika_hojyu,shumoku_name,kyori,shukai,kyoso_shurui,yudo_sensyu
2026-03-26,42,2,4,015399,高木 佑真,神奈川,L1,L1,両,116,27,51.37,1,1,3,3,3,3,3,18.0,29.0,44.0,,L級ガ予2,1625,4,I固,小川 大地
2026-03-26,42,2,5,015313,豊岡 英子,大 阪,L1,L1,両,114,45,50.22,1,1,0,3,1,3,0,4.0,22.0,36.0,,L級ガ予2,1625,4,I固,小川 大地
2026-03-26,42,2,6,015147,佐々木 恵理,愛 知,L1,L1,両,110,36,48.03,0,2,2,1,1,6,5,3.0,16.0,32.0,,L級ガ予2,1625,4,I固,小川 大地
2026-03-26,42,2,7,015494,近澤 諒香,三 重,L1,L1,両,118,25,46.6,0,0,0,0,0,0,0,0.0,0.0,15.0,(追加),L級ガ予2,1625,4,I固,小川 大地
2026-03-26,42,3,1,014581,佐山 俊樹,埼 玉,A1,A1,追,97,36,87.77,0,0,3,1,0,0,1,30.0,40.0,40.0,,A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,3,2,014026,高橋 成英,愛 知,A1,S2,両,89,43,84.03,1,0,3,0,3,4,0,10.0,14.0,21.0,,A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,3,3,013426,本村 隆文,岐 阜,A2,A2,追,81,47,82.33,0,1,2,0,0,0,0,8.0,12.0,41.0,,A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,3,4,013710,榎本 光男,静 岡,A1,A2,両,85,48,82.12,0,5,1,0,2,2,1,12.0,19.0,25.0,(追加),A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,3,5,013106,赤井 学,千 葉,A2,A1,追,77,52,82.0,0,0,2,2,0,0,15,4.0,16.0,33.0,,A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,3,6,012800,豊田 一馬,群 馬,A2,A2,追,73,51,80.22,0,0,1,0,0,0,0,0.0,5.0,27.0,,A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,3,7,012971,小川 将人,愛 知,A2,A1,追,75,50,79.93,0,0,1,1,0,1,4,0.0,6.0,22.0,(補充),A級特一般,1625,4,先固,松山 桂輔
2026-03-26,42,4,1,013775,鈴木 良太,静 岡,A2,A1,追,86,48,88.33,0,0,6,2,0,0,3,23.0,38.0,52.0,,A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,4,2,011800,三住 博昭,神奈川,A1,A2,追,61,57,84.52,0,0,6,2,0,0,2,24.0,32.0,48.0,,A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,4,3,013270,中川 貴史,三 重,A2,A1,追,79,49,83.8,0,1,4,0,0,0,3,19.0,19.0,23.0,,A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,4,4,015806,山本 天平,千 葉,A2,A3,逃,125,28,79.63,5,3,1,2,18,20,14,12.0,33.0,45.0,(追加),A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,4,5,014393,柴田 祐也,岐 阜,A2,A3,追,94,42,79.42,0,0,2,1,0,0,0,0.0,15.0,21.0,,A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,4,6,015534,牛田 樹希斗,愛 知,A2,A1,逃,119,27,79.4,1,2,1,1,3,8,0,6.0,16.0,19.0,(追加),A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,4,7,012955,太田 真一,埼 玉,A2,A2,追,75,50,78.94,0,0,0,1,1,0,1,0.0,5.0,26.0,,A級特一般,1625,4,先固,小塚 潤
2026-03-26,42,5,1,013670,小橋 秀幸,青 森,A1,S2,追,85,47,94.57,0,0,9,2,0,0,10,18.0,33.0,45.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,5,2,015618,高本 和也,神奈川,A1,A1,逃,121,28,91.36,3,10,3,0,6,8,4,23.0,53.0,63.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,5,3,014947,北川 大五郎,大 阪,A1,A1,両,103,34,91.35,0,5,1,0,1,0,1,16.0,33.0,55.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,5,4,014032,藤田 真,兵 庫,A2,A1,両,89,44,85.7,2,4,3,0,6,4,0,20.0,30.0,43.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,5,5,014008,甲斐 康昭,群 馬,A2,A1,追,89,41,85.58,0,0,7,0,0,0,3,25.0,29.0,41.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,5,6,013910,高橋 秀吉,秋 田,A1,A1,追,88,42,85.46,0,1,5,0,0,0,3,10.0,20.0,43.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,5,7,015257,舟山 佑京,新 潟,A2,A2,逃,113,28,79.0,1,0,0,1,7,12,2,0.0,8.0,16.0,,A級準決勝,1625,4,先固,柴田 昌樹
2026-03-26,42,6,1,012688,佐藤 成人,奈 良,A1,S2,追,71,52,91.38,0,0,1,4,0,0,0,5.0,27.0,38.0,,A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,6,2,014163,内田 英介,東 京,A1,A1,追,91,44,89.96,0,0,3,6,0,0,16,7.0,34.0,57.0,,A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,6,3,013335,坂上 樹大,石 川,A1,A1,追,80,48,89.63,0,1,2,1,0,0,6,3.0,13.0,46.0,,A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,6,4,015783,吉田 優斗,岩 手,A2,A2,逃,125,26,86.95,7,1,0,0,15,13,0,23.0,38.0,42.0,,A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,6,5,015108,吉田 篤史,奈 良,A2,A1,両,109,37,85.88,3,3,1,0,8,7,3,22.0,38.0,50.0,,A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,6,6,015107,田頭 寛之,千 葉,A1,A1,両,109,37,83.97,2,6,1,0,5,5,6,17.0,26.0,44.0,(追加),A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,6,7,014158,本間 慎吾,新 潟,A2,A3,追,91,39,78.03,0,0,2,2,0,0,1,3.0,13.0,33.0,,A級準決勝,1625,4,先固,小川 大地
2026-03-26,42,7,1,015178,伊藤 稔真,三 重,A1,S2,両,111,29,97.43,2,2,10,0,2,3,4,47.0,60.0,82.0,,A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,42,7,2,015821,志田 愛希飛,富 山,A2,A2,逃,125,23,91.38,5,4,0,0,10,8,0,27.0,50.0,72.0,,A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,42,7,3,015612,小榑 佑弥,群 馬,A1,A1,逃,121,26,91.33,2,2,3,0,2,2,1,16.0,38.0,55.0,,A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,42,7,4,014372,内田 玄希,東 京,A1,A1,追,94,45,89.6,0,0,7,2,0,0,16,26.0,34.0,61.0,(追加),A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,42,7,5,013041,三浦 稔希,愛 知,A1,A2,追,76,50,88.13,0,0,7,2,0,0,5,6.0,30.0,50.0,,A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,42,7,6,014758,中野 智公,和歌山,A2,A2,追,99,36,86.62,0,0,0,7,0,0,2,0.0,25.0,51.0,(追加),A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,42,7,7,015275,伊藤 歩登,兵 庫,A1,A2,逃,113,27,83.7,5,3,0,0,11,11,1,25.0,33.0,45.0,,A級準決勝,1625,4,先固,松山 桂輔
2026-03-26,44,1,1,015538,村瀬 大和,岐 阜,A2,A3,逃,119,24,78.58,4,4,0,0,12,14,20,12.0,33.0,54.0,,A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,1,2,014530,栗田 雄矢,静 岡,A2,A1,追,96,40,85.77,0,0,3,4,0,0,3,9.0,31.0,50.0,,A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,1,3,014556,小川 祐司,愛 媛,A2,A1,両,96,43,83.62,4,3,0,0,8,10,1,16.0,29.0,50.0,(追加),A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,1,4,014340,古川 貴之,佐 賀,A1,A1,追,93,42,86.84,0,0,9,0,0,0,0,30.0,34.0,46.0,,A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,1,5,013925,黒田 篤,栃 木,A2,A2,追,88,46,84.75,0,0,5,3,0,0,3,12.0,32.0,52.0,,A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,1,6,014418,安部 龍文,大 分,A2,A3,追,94,41,77.62,0,1,2,1,0,0,1,3.0,13.0,34.0,,A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,1,7,013575,渡会 啓介,愛 知,A2,A3,追,83,49,83.18,0,2,5,1,0,0,3,31.0,36.0,50.0,,A級一般,1625,4,先固,伊藤 嘉浩
2026-03-26,44,2,1,013384,金子 兼久,宮 城,A2,A2,追,81,48,82.73,0,0,1,4,0,0,6,3.0,16.0,26.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,2,2,013493,立花 成泰,岡 山,A1,A1,追,82,47,88.7,0,1,6,4,0,0,2,22.0,40.0,44.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,2,3,015929,鶴 淳志,福 岡,A2,A2,逃,127,25,87.25,12,2,0,0,16,14,7,50.0,70.0,75.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,2,4,014651,須永 勝太,福 島,A2,A3,両,98,35,79.84,0,2,2,0,0,0,0,10.0,21.0,31.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,2,5,012760,櫻井 宏智,広 島,A2,A2,追,72,55,87.32,0,0,6,2,0,0,3,17.0,27.0,51.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,2,6,013179,飯島 淳,東 京,A2,A2,追,78,49,79.5,0,0,0,1,0,0,0,0.0,4.0,17.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,2,7,014277,山口 慎吾,北海道,A2,A2,追,93,42,83.13,0,0,2,1,0,0,1,0.0,10.0,33.0,,A級一般,1625,4,先固,田中 秀治
2026-03-26,44,3,1,015562,山本 浩成,福 岡,A1,S2,逃,119,27,94.52,2,4,2,0,3,1,10,25.0,40.0,45.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,3,2,014869,泉谷 元樹,愛 知,A1,A1,逃,101,37,86.37,6,1,3,1,16,19,6,14.0,40.0,51.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,3,3,013760,矢口 啓一郎,群 馬,A1,A1,両,86,45,85.58,1,1,2,3,1,3,11,9.0,21.0,46.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,3,4,014330,坂田 章,高 知,A1,A1,追,93,40,93.12,0,0,8,3,0,0,2,25.0,45.0,70.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,3,5,015048,志佐 明,神奈川,A1,A1,両,107,36,87.0,1,8,1,0,4,3,4,20.0,41.0,50.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,3,6,012389,岡崎 昭次,愛 媛,A2,A3,追,67,54,79.66,0,0,0,0,0,0,0,0.0,0.0,33.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,3,7,013716,佐藤 亙,愛 知,A1,A1,追,85,46,89.48,0,1,5,2,0,0,2,11.0,29.0,55.0,,A級準決勝,1625,4,先固,横関 裕樹
2026-03-26,44,4,1,015633,中釜 健次,大 阪,A1,A1,逃,121,27,90.91,2,6,3,0,5,4,9,29.0,45.0,50.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,4,2,015565,入江 航太,熊 本,A2,A1,逃,119,24,82.37,2,1,3,0,7,9,11,16.0,25.0,37.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,4,3,013748,佐々木 省司,青 森,A1,S2,追,86,48,93.37,0,0,2,5,0,0,11,3.0,25.0,55.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,4,4,014495,下沖 功児,宮 崎,A1,A2,逃,95,42,87.19,5,10,4,0,8,10,2,26.0,46.0,53.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,4,5,014797,佐々木 吉徳,秋 田,A1,A1,逃,100,38,88.1,8,5,0,0,13,10,0,30.0,43.0,63.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,4,6,014813,新井 僚太郎,山 梨,A2,A2,両,100,34,80.55,1,1,1,1,4,4,1,3.0,14.0,29.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,4,7,014597,上田 隼,岐 阜,A1,A2,追,97,36,83.26,0,1,4,3,1,1,3,17.0,28.0,39.0,,A級準決勝,1625,4,先固,伊藤 嘉浩
2026-03-26,44,5,1,014452,長井 優斗,東 京,A1,S2,追,95,38,92.47,0,0,2,2,0,0,0,8.0,16.0,29.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,5,2,015060,滝本 泰行,岡 山,A1,A1,両,107,30,88.0,0,1,5,4,1,0,11,16.0,41.0,70.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,5,3,014941,江端 隆司,福 井,A2,A1,逃,103,33,83.2,3,2,3,0,8,9,0,20.0,33.0,33.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,5,4,014954,日野 博幸,愛 媛,A1,A1,逃,103,42,89.76,10,3,1,0,14,12,12,32.0,56.0,64.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,5,5,014091,伊原 弘幸,福 井,A1,A2,追,90,41,86.81,0,0,7,4,0,0,0,18.0,40.0,59.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,5,6,012326,國武 耕二,佐 賀,A2,A1,追,66,56,82.66,0,0,3,1,0,0,0,5.0,22.0,33.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,5,7,015712,松本 京太,静 岡,A1,S2,逃,123,27,93.82,3,10,0,0,13,10,6,39.0,46.0,50.0,,A級準決勝,1625,4,先固,山田 純也
2026-03-26,44,6,1,014817,佐藤 壮,千 葉,S2,S2,追,100,34,102.9,0,0,6,5,0,0,10,12.0,33.0,48.0,(追加),S級一般,2025,5,先固,板橋 慎治
2026-03-26,44,6,2,015648,森本 桂太郎,愛 媛,S2,A1,逃,121,27,93.48,1,0,2,0,7,9,1,7.0,11.0,22.0,(追加),S級一般,2025,5,先固,板橋 慎治
2026-03-26,44,6,3,014786,本郷 雄三,熊 本,S2,S2,両,99,37,96.0,0,0,2,1,0,0,9,3.0,9.0,21.0,,S級一般,2025,5,先固,板橋 慎治
2026-03-26,44,6,4,012895,小嶋 敬二,石 川,S2,S2,両,74,56,95.19,1,3,0,0,4,4,0,14.0,19.0,28.0,,S級一般,2025,5,先固,板橋 慎治
2026-03-26,44,6,5,015176,望月 一成,静 岡,S2,A1,逃,111,29,93.46,5,2,1,0,13,14,4,14.0,28.0,35.0,,S級一般,2025,5,先固,板橋 慎治
2026-03-26,44,6,6,013295,佐々木 則幸,高 知,S2,S2,追,79,49,101.4,0,0,4,3,0,0,1,3.0,23.0,33.0,,S級一般,2025,5,先固,板橋 慎治
2026-03-26,44,7,1,015276,佐伯 亮輔,岡 山,S2,S2,逃,113,31,97.45,5,4,0,0,11,14,0,24.0,36.0,44.0,(追加),S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,7,2,014232,柴田 洋輔,東 京,S2,S2,追,92,40,100.73,0,0,4,4,0,0,4,11.0,30.0,38.0,,S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,7,3,015539,上杉 嘉槻,福 井,S2,S2,逃,119,27,94.27,5,1,1,0,10,13,0,13.0,24.0,27.0,,S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,7,4,015236,藤根 俊貴,岩 手,S2,A1,逃,113,31,97.58,1,3,2,1,3,4,0,11.0,41.0,47.0,,S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,7,5,013824,上吹越 直樹,鹿児島,S2,S2,両,86,44,97.54,0,0,1,1,0,0,0,4.0,8.0,16.0,,S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,7,6,013618,櫻井 学,群 馬,S2,A1,両,84,46,92.24,0,2,3,0,0,0,3,15.0,19.0,34.0,,S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,7,7,015005,野口 正則,奈 良,S2,S2,両,105,35,96.15,0,0,2,0,0,0,9,3.0,7.0,30.0,,S級一般,2025,5,先固,横関 裕樹
2026-03-26,44,8,1,013199,北野 武史,石 川,S2,S2,追,78,53,97.68,0,0,2,4,0,0,3,0.0,31.0,42.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,8,2,015552,上野 雅彦,香 川,S2,S2,逃,119,24,97.16,1,1,1,0,5,6,6,4.0,12.0,28.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,8,3,013242,尾崎 剛,埼 玉,S2,A1,追,79,49,95.37,0,0,1,3,0,0,1,4.0,16.0,32.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,8,4,015375,村上 竜馬,広 島,S2,S2,逃,115,30,98.55,0,2,3,1,0,0,3,11.0,22.0,25.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,8,5,013912,金成 和幸,福 島,S2,A1,追,88,47,95.37,0,0,3,2,0,0,0,6.0,15.0,18.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,8,6,015536,疋田 力也,愛 知,S2,A1,両,119,24,94.38,1,3,2,0,5,3,3,5.0,16.0,27.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,8,7,015604,安彦 統賀,埼 玉,S2,A1,両,121,27,103.3,1,1,7,1,5,6,5,26.0,43.0,56.0,,S級選抜,2025,5,先固,田中 秀治
2026-03-26,44,9,1,015041,伊藤 慶太郎,埼 玉,S2,S2,逃,107,32,99.15,4,0,2,1,7,7,2,15.0,35.0,40.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,9,2,014881,山崎 泰己,岡 山,S2,A1,追,101,36,96.26,0,1,2,1,0,0,6,0.0,17.0,26.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,9,3,014946,元砂 勇雪,奈 良,S2,S1,追,103,34,100.78,0,0,2,2,0,0,2,5.0,20.0,45.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,9,4,013410,伊勢崎 彰大,千 葉,S2,S2,追,81,47,97.28,0,0,5,1,0,0,3,2.0,17.0,31.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,9,5,015541,石塚 慶一郎,和歌山,S2,A1,両,119,24,103.2,0,6,4,0,2,2,0,25.0,50.0,70.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,9,6,015572,田村 大,宮 崎,S2,A1,逃,119,27,95.96,3,4,1,0,12,12,4,10.0,26.0,33.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,9,7,012813,成清 貴之,千 葉,S2,S2,追,73,52,99.88,0,0,1,4,0,0,0,0.0,20.0,48.0,,S級選抜,2025,5,先固,山田 純也
2026-03-26,44,10,1,014939,長尾 拳太,岐 阜,S1,S1,両,103,32,101.68,0,1,4,1,0,2,4,13.0,26.0,52.0,,S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,10,2,014804,横山 尚則,茨 城,S1,S1,追,100,34,106.75,0,0,2,0,0,0,0,50.0,50.0,50.0,,S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,10,3,014177,小堺 浩二,石 川,S2,S2,両,91,43,102.75,0,9,3,1,1,0,6,22.0,36.0,52.0,(追加),S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,10,4,015342,福田 滉,栃 木,S2,S2,追,115,26,97.65,0,0,4,2,0,0,4,9.0,18.0,33.0,,S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,10,5,015778,小堀 敢太,北海道,S2,S2,逃,125,25,105.37,5,6,2,1,16,14,8,41.0,48.0,62.0,,S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,10,6,014465,村上 直久,神奈川,S2,S2,両,95,44,97.12,0,2,1,1,4,3,0,12.0,16.0,28.0,,S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,10,7,015450,長谷部 龍一,岐 阜,S2,S2,逃,117,29,101.86,1,4,1,0,1,1,2,8.0,26.0,30.0,(追加),S級準決勝,2025,5,先固,板橋 慎治
2026-03-26,44,11,1,015444,渡邉 雅也,静 岡,S1,S2,両,117,25,109.97,1,9,9,2,4,3,9,31.0,60.0,62.0,,S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,11,2,014545,岡崎 智哉,大 阪,S1,S1,両,96,40,107.1,0,3,1,6,0,0,5,10.0,35.0,46.0,,S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,11,3,014588,柿澤 大貴,長 野,S1,S2,追,97,36,105.95,0,0,3,0,0,0,2,9.0,13.0,40.0,,S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,11,4,014350,佐藤 雅春,宮 城,S2,S2,追,94,38,97.41,0,0,2,2,0,0,4,0.0,12.0,29.0,,S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,11,5,015132,瓜生 崇智,熊 本,S2,S1,追,109,31,103.0,0,0,13,0,0,0,14,44.0,52.0,68.0,,S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,11,6,015826,久田 朔,大 阪,S2,A2,逃,125,22,96.0,11,8,0,0,19,12,5,60.0,76.0,84.0,(追加),S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,11,7,014004,松永 将,茨 城,S2,S2,追,89,45,99.45,0,0,5,3,0,0,2,0.0,23.0,35.0,,S級準決勝,2025,5,先固,田中 秀治
2026-03-26,44,12,1,015203,松本 貴治,愛 媛,S1,S1,両,111,32,111.77,2,4,4,1,2,3,9,26.0,47.0,56.0,,S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,44,12,2,013900,大森 慶一,北海道,S1,S1,追,88,44,101.68,0,0,4,4,0,0,12,6.0,26.0,46.0,,S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,44,12,3,014076,志村 太賀,山 梨,S2,S2,追,90,42,103.26,0,0,6,1,0,0,3,15.0,35.0,55.0,,S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,44,12,4,013719,吉田 敏洋,愛 知,S2,S1,両,85,46,100.87,0,0,7,3,1,0,1,12.0,32.0,45.0,,S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,44,12,5,015162,蕗澤 鴻太郎,群 馬,S2,S2,逃,111,30,99.44,5,2,2,0,13,14,10,14.0,33.0,40.0,,S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,44,12,6,015891,野中 龍之介,神奈川,S2,A2,逃,127,24,93.16,12,6,2,0,17,15,3,68.0,80.0,84.0,(追加),S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,44,12,7,012596,志智 俊夫,岐 阜,S1,S1,追,70,53,106.34,0,0,7,4,0,0,3,13.0,37.0,48.0,,S級準決勝,2025,5,先固,横関 裕樹
2026-03-26,56,1,1,015672,松本 詩乃,東 京,L1,L1,両,122,27,53.76,0,0,3,3,0,1,8,11.0,33.0,88.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,1,2,015584,西脇 美唯奈,愛 知,L1,L1,両,120,24,52.58,3,2,3,2,8,9,0,9.0,32.0,61.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,1,3,015149,中野 咲,愛 知,L1,L1,両,110,29,51.1,0,2,2,4,2,0,0,6.0,26.0,43.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,1,4,015674,野寺 楓,静 岡,L1,L1,追,122,27,49.43,0,0,1,4,0,1,5,0.0,16.0,33.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,1,5,015954,北津留 千羽,福 岡,L1,L1,両,128,20,49.07,0,0,1,0,1,1,4,0.0,3.0,40.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,1,6,015776,高本 美穂,熊 本,L1,L1,追,124,23,46.68,0,1,1,0,1,2,2,4.0,8.0,12.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,1,7,015767,木下 宙,大 阪,L1,L1,両,124,23,43.91,0,0,0,0,0,0,1,0.0,0.0,0.0,,L級ガ予2,1625,4,I固,小西 芳樹
2026-03-26,56,2,1,015070,尾崎 睦,神奈川,L1,L1,両,108,40,56.77,3,13,1,0,6,2,1,61.0,94.0,100.0,,L級ガ予2,1625,4,I固,金田 健一郎
2026-03-26,56,2,2,015406,吉岡 詩織,広 島,L1,L1,両,116,31,53.61,2,10,2,2,9,5,2,34.0,61.0,76.0,,L級ガ予2,1625,4,I固,金田 健一郎
2026-03-26,56,2,3,015410,村田 奈穂,熊 本,L1,L1,両,116,34,51.06,1,5,2,0,1,0,0,16.0,26.0,43.0,(追加),L級ガ予2,1625,4,I固,金田 健一郎
2026-03-26,56,2,4,015150,宮地 寧々,岐 阜,L1,L1,両,110,30,50.76,0,2,1,3,3,3,1,7.0,23.0,42.0,(追加),L級ガ予2,1625,4,I固,金田 健一郎
