race_date,place_code,race_no,car_no,narabi_x,narabi_y
2026-04-26,11,1,3,5,1
2026-04-26,11,1,4,7,1
2026-04-26,11,1,5,2,1
2026-04-26,11,2,1,1,1
2026-04-26,11,2,2,3,1
2026-04-26,11,2,3,5,1
2026-04-26,11,2,4,2,1
2026-04-26,11,2,5,6,1
2026-04-26,11,3,1,6,1
2026-04-26,11,3,2,1,1
2026-04-26,11,3,3,2,1
2026-04-26,11,3,4,9,1
2026-04-26,11,3,5,7,1
2026-04-26,11,3,6,3,1
2026-04-26,11,3,7,4,1
2026-04-26,11,4,1,1,1
2026-04-26,11,4,2,3,1
2026-04-26,11,4,3,8,1
2026-04-26,11,4,4,2,1
2026-04-26,11,4,5,10,1
2026-04-26,11,4,6,5,1
2026-04-26,11,4,7,7,1
2026-04-26,11,5,1,2,1
2026-04-26,11,5,2,1,1
2026-04-26,11,5,3,6,1
2026-04-26,11,5,4,10,1
2026-04-26,11,5,5,9,1
2026-04-26,11,5,6,4,1
2026-04-26,11,5,7,7,1
2026-04-26,11,6,1,1,1
2026-04-26,11,6,2,7,1
2026-04-26,11,6,3,9,1
2026-04-26,11,6,4,3,1
2026-04-26,11,6,5,2,1
2026-04-26,11,6,6,4,1
2026-04-26,11,6,7,6,1
2026-04-26,11,7,1,1,1
2026-04-26,11,7,2,8,1
2026-04-26,11,7,3,9,1
2026-04-26,11,7,4,7,1
2026-04-26,11,7,5,2,1
2026-04-26,11,7,6,3,1
2026-04-26,11,7,7,5,1
2026-04-26,11,8,1,2,1
2026-04-26,11,8,2,5,1
2026-04-26,11,8,3,1,1
2026-04-26,11,8,4,8,1
2026-04-26,11,8,5,6,1
2026-04-26,11,8,6,3,1
2026-04-26,11,8,7,9,1
2026-04-26,11,9,1,1,1
2026-04-26,11,9,2,5,1
2026-04-26,11,9,3,2,1
2026-04-26,11,9,4,4,1
2026-04-26,11,9,5,7,1
2026-04-26,11,9,6,8,1
2026-04-26,11,9,7,10,1
2026-04-26,31,1,1,5,1
2026-04-26,31,1,2,1,1
2026-04-26,31,1,3,7,1
2026-04-26,31,1,4,9,1
2026-04-26,31,1,5,3,1
2026-04-26,31,1,6,11,1
2026-04-26,31,1,7,13,1
2026-04-26,31,2,1,5,1
2026-04-26,31,2,2,1,1
2026-04-26,31,2,3,7,1
2026-04-26,31,2,4,3,1
2026-04-26,31,2,5,9,1
2026-04-26,31,2,6,11,1
2026-04-26,31,2,7,13,1
2026-04-26,31,3,1,3,1
2026-04-26,31,3,2,1,1
2026-04-26,31,3,3,7,1
2026-04-26,31,3,4,5,1
2026-04-26,31,3,5,11,1
2026-04-26,31,3,6,13,1
2026-04-26,31,3,7,9,1
2026-04-26,31,4,1,7,1
2026-04-26,31,4,2,1,1
2026-04-26,31,4,3,3,1
2026-04-26,31,4,4,9,1
2026-04-26,31,4,5,11,1
2026-04-26,31,4,6,5,1
2026-04-26,31,4,7,13,1
2026-04-26,31,5,1,3,1
2026-04-26,31,5,2,1,1
2026-04-26,31,5,3,5,1
2026-04-26,31,5,4,7,1
2026-04-26,31,5,5,11,1
2026-04-26,31,5,6,9,1
2026-04-26,31,5,7,13,1
2026-04-26,31,6,1,7,1
2026-04-26,31,6,2,3,1
2026-04-26,31,6,3,1,1
2026-04-26,31,6,4,5,1
2026-04-26,31,6,5,11,1
2026-04-26,31,6,6,13,1
2026-04-26,31,6,7,9,1
2026-04-26,31,7,1,1,1
2026-04-26,31,7,2,3,1
2026-04-26,31,7,3,5,1
2026-04-26,31,7,4,7,1
2026-04-26,31,7,5,9,1
2026-04-26,31,7,6,11,1
2026-04-26,31,7,7,13,1
2026-04-26,31,8,1,5,1
2026-04-26,31,8,2,7,1
2026-04-26,31,8,3,1,1
2026-04-26,31,8,4,3,1
2026-04-26,31,8,5,9,1
2026-04-26,31,8,6,11,1
2026-04-26,31,8,7,13,1
2026-04-26,31,9,1,7,1
2026-04-26,31,9,2,3,1
2026-04-26,31,9,3,1,1
2026-04-26,31,9,4,9,1
2026-04-26,31,9,5,11,1
2026-04-26,31,9,6,5,1
2026-04-26,31,9,7,13,1
2026-04-26,31,10,1,5,1
2026-04-26,31,10,2,7,1
2026-04-26,31,10,3,1,1
2026-04-26,31,10,4,3,1
2026-04-26,31,10,5,9,1
2026-04-26,31,10,6,13,1
2026-04-26,31,10,7,11,1
2026-04-26,31,11,1,7,1
2026-04-26,31,11,2,1,1
2026-04-26,31,11,3,9,1
2026-04-26,31,11,4,11,1
2026-04-26,31,11,5,3,1
2026-04-26,31,11,6,5,1
2026-04-26,31,11,7,13,1
2026-04-26,31,12,1,5,1
2026-04-26,31,12,2,7,1
2026-04-26,31,12,3,9,1
2026-04-26,31,12,4,1,1
2026-04-26,31,12,5,11,1
2026-04-26,31,12,6,3,1
2026-04-26,31,12,7,13,1
2026-04-26,53,1,1,1,1
2026-04-26,53,1,2,6,1
2026-04-26,53,1,3,5,1
2026-04-26,53,1,4,2,1
2026-04-26,53,1,5,7,1
2026-04-26,53,1,6,3,1
2026-04-26,53,2,1,1,1
2026-04-26,53,2,2,2,1
2026-04-26,53,2,3,5,1
2026-04-26,53,2,4,4,1
2026-04-26,53,2,5,7,1
2026-04-26,53,2,6,8,1
2026-04-26,53,2,7,9,1
2026-04-26,53,3,1,1,1
2026-04-26,53,3,2,5,1
2026-04-26,53,3,3,6,1
2026-04-26,53,3,4,2,1
2026-04-26,53,3,5,3,1
2026-04-26,53,3,6,7,1
2026-04-26,53,3,7,9,1
2026-04-26,53,4,1,4,1
2026-04-26,53,4,2,5,1
2026-04-26,53,4,3,2,1
2026-04-26,53,4,4,1,1
2026-04-26,53,4,5,8,1
2026-04-26,53,4,6,6,1
2026-04-26,53,4,7,9,1
2026-04-26,53,5,1,1,1
2026-04-26,53,5,2,2,1
2026-04-26,53,5,3,8,1
2026-04-26,53,5,4,3,1
2026-04-26,53,5,5,7,1
2026-04-26,53,5,6,5,1
2026-04-26,53,5,7,9,1
2026-04-26,53,6,1,1,1
2026-04-26,53,6,2,2,1
2026-04-26,53,6,3,6,1
2026-04-26,53,6,4,3,1
2026-04-26,53,6,5,9,1
2026-04-26,53,6,6,4,1
2026-04-26,53,6,7,7,1
2026-04-26,53,7,1,7,1
2026-04-26,53,7,2,1,1
2026-04-26,53,7,3,2,1
2026-04-26,53,7,4,8,1
2026-04-26,53,7,5,5,1
2026-04-26,53,7,6,9,1
2026-04-26,53,7,7,4,1
2026-04-26,53,8,1,2,1
2026-04-26,53,8,2,1,1
2026-04-26,53,8,3,9,1
2026-04-26,53,8,4,5,1
2026-04-26,53,8,5,6,1
2026-04-26,53,8,6,8,1
2026-04-26,53,8,7,3,1
2026-04-26,53,9,1,1,1
2026-04-26,53,9,2,2,1
2026-04-26,53,9,3,8,1
2026-04-26,53,9,4,7,1
2026-04-26,53,9,5,9,1
2026-04-26,53,9,6,5,1
2026-04-26,53,9,7,3,1
2026-04-26,87,9,1,1,1
2026-04-26,87,9,2,5,1
2026-04-26,87,9,3,8,1
2026-04-26,87,9,4,2,1
2026-04-26,87,9,5,7,1
2026-04-26,87,9,6,3,1
2026-04-26,87,9,7,10,1
2026-04-26,87,10,1,2,1
2026-04-26,87,10,2,6,1
2026-04-26,87,10,3,9,1
2026-04-26,87,10,4,3,1
2026-04-26,87,10,5,5,1
2026-04-26,87,10,6,8,1
2026-04-26,87,10,7,1,1
2026-04-26,87,11,1,2,1
2026-04-26,87,11,2,5,1
2026-04-26,87,11,3,8,1
2026-04-26,87,11,4,6,1
2026-04-26,87,11,5,1,1
2026-04-26,87,11,6,9,1
2026-04-26,87,11,7,3,1
2026-04-26,87,12,1,7,1
2026-04-26,87,12,2,10,1
2026-04-26,87,12,3,2,1
2026-04-26,87,12,4,4,1
2026-04-26,87,12,5,9,1
2026-04-26,87,12,6,1,1
2026-04-26,87,12,7,6,1
